doc_idn,gnd_idn,gnd_label
983079862,041886879,Vormischflamme
983079862,041864700,Turbulente Verbrennung
983079862,042758254,Selbsterregte Schwingung
983079862,041994280,Ringwirbel
983079862,041702972,Modellierung
983122792,040365824,Luftreinhaltung
983122792,040268136,Industriebetrieb
983122792,040588025,System Dynamics
983122792,04039798X,Modell
983424284,957571917,Wissensmanagement
983424284,040725626,Hochschulunterricht
983510962,041541359,Fertigbauteil
983510962,040139670,Einzelfertigung
983510962,040039579,Automation
983510962,043078656,CAD-CAM
983510962,953263746,Austauschformat
983510962,953581284,XML
983585520,118622692,Tillich
983585520,040493962,Religion
983585520,041256980,Kultur
983585520,040494128,Religionspädagogik
983585520,118622692,Tillich
983585520,041923529,Interreligiöser Dialog
983585520,040335690,Kulturkontakt
983585520,040494225,Religionsunterricht
983618194,040305503,Kind
983618194,040169537,Fettsucht
983618194,041644395,Körperliche Aktivität
983618194,041260732,Therapieerfolg
983619786,041635795,Keramikfaser
983619786,04135785X,Gewebe
983619786,041945050,Laminat
983619786,041421434,Aluminiumoxidkeramik
983619786,943085462,Infiltration
983619786,040143732,Elektrophorese
983627282,04063213X,Versöhnung
983627282,040158756,Evangelische Theologie
983627282,040780295,Südkorea
983627282,04061672X,Vergangenheitsbewältigung
983627282,04063213X,Versöhnung
983627282,040284956,Japan
983627282,040324664,Korea
983627282,041554418,Friedenspolitik
983627282,040158330,Evangelische Kirche
983630488,040015866,Aluminiumlegierung
983630488,041507355,Druckguss
983630488,041273443,Stoffgesetz
983630488,040172333,Finite-Elemente-Methode
983630879,040780295,Südkorea
983630879,04142042X,Alternative Erziehung
983685177,042092558,Hilbertsches Programm
983738882,11850391X,Arendt
983738882,040457915,Philosophie
983738882,041155904,Politisches Denken
983739110,946808546,Uganda
983739110,041713648,Nebelwald
983739110,041666437,Landschaftssukzession
983739110,041740734,Pflanzensoziologie
983739110,946808546,Uganda
983739110,041713648,Nebelwald
983739110,041357337,Biotopschutz
983739110,041446410,Berggorilla
983739110,041125983,Artenschutz
983744688,948558423,Citrinin
983744688,041349385,Pflanzliches Lebensmittel
983744688,041153340,Nachweis
983744688,947929525,HPLC-MS
983747024,041624572,Ischämischer cerebraler Anfall
983747024,042918480,Kininrezeptor
983747024,040416496,Nervenzelle
983747024,042074150,Zelltod
983755973,96766165X,Auktionstheorie
983755973,040435865,Operations Research
983755973,04035816X,Lineare Optimierung
983755973,040681238,Zuordnungsproblem
983756090,042368006,Roboterhand
983756090,041581318,Greifen
983756090,040383903,Mehrkörpersystem
983756090,041829352,Starrer Körper
983756090,040550729,Simulation
983808481,041542045,Feststoff
983808481,040124843,Dispersion
983808481,040627810,Verfahrenstechnik
983808481,042372038,Prozessmodell
983808481,04117660X,Wirbelschichtverfahren
983808481,042372038,Prozessmodell
983868948,947487301,Transsonischer Verdichter
983868948,041573935,Gitterströmung
983868948,041172655,Turbulente Strömung
983868948,042825229,Stoß-Grenzschicht-Wechselwirkung
983868948,041296109,Strömungsmesstechnik
983868948,041298209,Hitzdrahtanemometer
983868948,947487301,Transsonischer Verdichter
983868948,041573935,Gitterströmung
983868948,041172655,Turbulente Strömung
983868948,042825229,Stoß-Grenzschicht-Wechselwirkung
983868948,96473222X,Numerische Strömungssimulation
983870438,04061963X,Unternehmen
983870438,040318834,Kommunikation
983870438,043264646,Nachhaltigkeit
983870438,043084168,Internet
983891583,041894103,Weichmagnetischer Werkstoff
983891583,941420167,Nanostrukturiertes Material
983891583,041867742,Ummagnetisierung
983905835,041866045,Überlagerungsempfänger
983905835,941773329,Terahertzbereich
983905835,042987393,Supraleitungs-Bolometer
983905835,04003397X,Atmosphäre
983905835,041826086,Spurengas
983905835,040388522,Messung
983915865,041685407,Magnesiumsilicid
983915865,040626709,Verbundwerkstoff
983915865,042179610,Mechanische Eigenschaft
983915865,040478408,Pulvermetallurgie
983915865,041402995,Sintern
983915865,041685407,Magnesiumsilicid
983915865,042165946,Legierungselement
983915865,040360377,Lithium
983915865,042179610,Mechanische Eigenschaft
983915865,04155647X,Funkenplasma
983981329,042954592,Angststörung
983981329,041300009,Ausdauertraining
983981329,042374480,Funktionelle Störung
983981329,041300009,Ausdauertraining
984032266,041482255,Colonkrebs
984032266,980733286,Insulin-like-Growth-Factor-Binding-Protein-2
984032266,042790212,Transgene Tiere
984032266,041406605,Tiermodell
984081550,971728496,Rollwende
984081550,041983327,Sportliche Leistung
984081550,042092833,Einflussgröße
984081550,04073756X,Krafttraining
984084959,04139402X,Produktentwicklung
984084959,945798784,Rapid Prototyping
984084959,945788274,Mehragentensystem
984084959,042426626,Semantisches Netz
984084959,948745339,Middleware
984129081,040458954,Fotografie
984129081,041359526,Quelle
984129081,042007933,Kollektives Gedächtnis
984129081,040205266,Geschichtsbewusstsein
984129081,040458954,Fotografie
984129081,041359526,Quelle
984129081,040205339,Geschichtsunterricht
98413638X,040118827,Deutschland
98413638X,040563820,Sportförderung
98413638X,040736482,Kommunalpolitik
98413638X,040087670,Bürgerbeteiligung
984207325,04307166X,Bioverfahrenstechnik
984207325,042789257,Prozessentwicklung
984207325,043264646,Nachhaltigkeit
984207325,040063402,Bewertung
984207325,040389715,Methode
984358803,040586715,Suspension
984358803,041658574,Kuchenfiltration
984358803,041954556,Filtermittel
984358803,042090377,Prüfstand
984467599,042047412,Backbone-Netz
984467599,042941490,Weitverkehrsnetz
